,Entity,Year,Fossil fuels (% electricity),Renewables (% electricity),Per capita electricity (kWh),Fossil fuels (% equivalent primary energy),Renewables (% equivalent primary energy),Aviation and shipping (per capita),Land-use change and forestry (per capita),Manufacturing and construction (per capita),Fugitive emissions (per capita),Agriculture (per capita),Buildings (per capita),Electricity and heat (per capita),Industry (per capita),Transport (per capita)_x,Waste (per capita),Carbon intensity of electricity (gCO2/kWh),Transport (per capita)_y,Biofuels Consumption - TWh - Total (zero filled),Solar Consumption - TWh (zero filled),Wind Consumption - TWh (zero filled),Hydro Consumption - TWh (zero filled),Nuclear Consumption - TWh (zero filled),Gas Consumption - TWh (zero filled),Coal Consumption - TWh (zero filled),Oil Consumption - TWh (zero filled),Geo Biomass Other - TWh (zero filled)
0,Africa,2000,78.74517059326172,17.654525756835938,542.7769165039062,91.67432403564452,7.174940586090088,0.0508764535188674,0.7368207573890686,0.1261676847934723,0.4426226615905761,0.8585370779037476,0.1338373720645904,0.402646541595459,0.1352184116840362,0.1992270499467849,0.1287324726581573,535.45849609375,0.1943810880184173,0.0,0.0353138893842697,0.518951416015625,222.5306396484375,36.91606903076172,556.8223876953125,963.7305908203124,1420.386474609375,2.269063234329224
1,Africa,2001,79.02587127685547,18.21664810180664,552.5474243164062,91.6755828857422,7.414130687713623,0.0465156845748424,0.7891418933868408,0.1283664405345916,0.4275230765342712,0.8231891989707947,0.1388249397277832,0.4486326277256012,0.1349014937877655,0.2036339938640594,0.1264889538288116,530.0001220703125,0.198651447892189,0.0,0.0439558327198028,1.2208858728408811,237.5763092041016,30.217819213867188,634.6361694335938,975.92626953125,1432.664306640625,2.335352659225464
2,Africa,2002,79.12548065185547,18.00189971923828,572.745849609375,91.38514709472656,7.605161666870117,0.0430518798530101,0.7702233791351318,0.1290969103574752,0.3938101530075073,0.8365339040756226,0.141947865486145,0.4512048363685608,0.1357808113098144,0.2088926583528518,0.1292143762111663,524.2651977539062,0.2038650512695312,0.0,0.0490436144173145,1.294748067855835,248.17819213867188,33.58561325073242,670.6054077148438,934.4215698242188,1479.16650390625,2.286400079727173
3,Africa,2003,80.06246948242188,16.845775604248047,583.6015625,91.94754028320312,7.0411763191223145,0.0454113781452178,0.7800530195236206,0.1310292035341262,0.4201326370239258,0.8450689911842346,0.1429409384727478,0.461130142211914,0.1340329349040985,0.216371864080429,0.1294470727443695,534.8441772460938,0.2112586498260498,0.0,0.0581588894128799,1.553291916847229,239.47659301757807,35.24045944213867,711.5067138671875,1017.0484008789062,1524.8150634765625,2.622400045394897
4,Africa,2004,80.04415893554688,16.825420379638672,605.0234375,92.07444763183594,6.93337345123291,0.0419313125312328,0.750333309173584,0.133032351732254,0.4206556379795074,0.8326632380485535,0.144510880112648,0.4859691262245178,0.1350125670433044,0.2196583151817321,0.1295529901981353,529.2755737304688,0.214467242360115,0.0,0.070790559053421,2.213917016983032,251.33616638183597,36.95752716064453,783.0681762695312,1119.161865234375,1586.5107421875,2.9788496494293213
5,Africa,2005,80.85244750976562,16.532817840576172,611.7351684570312,92.17848205566406,6.998331069946289,0.0407245829701423,0.7496117353439331,0.1479226797819137,0.4232693314552307,0.850446343421936,0.1472022831439972,0.4778234362602234,0.1369310915470123,0.2191770523786544,0.1294432580471038,531.9890747070312,0.2140141725540161,0.0,0.0841344445943832,2.2345566749572754,254.37918090820312,31.029052734375,807.7815551757812,1039.0726318359375,1654.919189453125,3.009669303894043
6,Africa,2006,81.17703247070312,16.49860191345215,624.1119995117188,92.16838836669922,7.123232841491699,0.0389689169824123,0.7199667096138,0.1444511711597442,0.4084922075271606,0.8187093138694763,0.147144928574562,0.4753142893314361,0.1420129686594009,0.2188754230737686,0.1300348043441772,531.0554809570312,0.2137541025876999,0.0,0.1078616678714752,2.425894021987915,261.91766357421875,27.37537956237793,843.4420776367188,1054.0970458984375,1673.716796875,3.770404815673828
7,Africa,2007,81.25521087646484,16.27716827392578,634.1665649414062,92.20699310302734,7.009408473968506,0.0400302447378635,0.708114743232727,0.1412636935710907,0.3900846242904663,0.8406871557235718,0.1526445150375366,0.4782550036907196,0.1459883749485016,0.2242628335952758,0.130474716424942,532.0801391601562,0.2189773768186569,0.0,0.1427327841520309,2.8734943866729736,269.1854553222656,30.70724868774414,900.0696411132812,1071.63330078125,1734.74072265625,3.1420483589172363
8,Africa,2008,81.09965515136719,16.296865463256836,631.3635864257812,92.44693756103516,6.716137886047363,0.0409062765538692,0.6945156455039978,0.1381903141736984,0.3846809864044189,0.8409074544906616,0.1560716181993484,0.5049191117286682,0.1487813889980316,0.2321937382221222,0.1308393329381942,525.3151245117188,0.226715937256813,0.0,0.2041683346033096,3.6861729621887207,272.4834899902344,35.0655517578125,935.162109375,1180.72509765625,1824.8509521484373,3.2673957347869877
9,Africa,2009,80.76775360107422,16.633481979370117,621.9937744140625,92.42403411865234,6.775711536407471,0.0373033508658409,0.6666925549507141,0.1450576186180114,0.3556503057479858,0.8121746182441711,0.1545043736696243,0.4600088596343994,0.1553236842155456,0.2363466918468475,0.13104048371315,517.0382690429688,0.2307496964931488,0.0,0.2675983309745788,4.438264846801758,278.04559326171875,34.3184814453125,940.8606567382812,1176.0020751953125,1885.976318359375,3.5627222061157227
