,,,Petrol,,Adv Petrol,,,Diesel,,,Adv Diesel,,,CNG ,,,Hybrid ,,,Electric,,,Bikes,,Electric Bikes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Entity,Year,Econ,Mid,Lux,Econ,Mid,Lux,Econ,Mid,Lux,Econ,Mid,Lux,Econ,Mid,Lux,Econ,Mid,Lux,Econ,Mid,Lux,Econ,Lux,Adv Econ,Adv Lux ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,2015,0.2639,0.539,0.0228,0.0204,0.0412,0.0017,0.001,0.0284,0.018,0.0001,0.002,0.0013,0,0,0,0.0001,0.0091,0.0008,0,0,0.0007,0.0224,0.0236,0.0018,0.0018,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,2004,0.2765,0.3767,0.0909,0,0,0,0.0038,0.122,0.0602,0,0,0,0.0011,0.0016,0.0004,0,0,0,0,0,0,0.032,0.0347,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,2005,0.2788,0.36,0.0855,0,0,0,0.0046,0.1339,0.065,0,0,0,0.0016,0.002,0.0005,0,0.0001,0,0,0,0,0.0371,0.031,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,2006,0.2799,0.3462,0.0836,0,0,0,0.0052,0.1425,0.0681,0,0,0,0.0018,0.0022,0.0005,0,0.0001,0,0,0,0,0.0391,0.0307,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,2007,0.2816,0.3337,0.0819,0,0,0,0.0057,0.1472,0.0694,0,0,0,0.0025,0.0029,0.0007,0,0.0002,0,0,0,0,0.0431,0.0311,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,2008,0.2827,0.3211,0.0802,0,0,0,0.0062,0.1525,0.071,0,0,0,0.0028,0.0032,0.0008,0,0.0003,0,0,0,0,0.0478,0.0314,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,2009,0.2875,0.3104,0.0733,0,0,0,0.0067,0.1588,0.073,0,0,0,0.0035,0.0038,0.0009,0,0.0004,0,0,0,0,0.0499,0.0319,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,2010,0.2941,0.2978,0.07,0,0,0,0.0071,0.1632,0.0742,0,0,0,0.004,0.0041,0.001,0,0.0005,0,0,0,0,0.0519,0.032,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,2011,0.3011,0.2831,0.0656,0,0,0,0.0077,0.1697,0.0764,0,0,0,0.0045,0.0042,0.001,0.0001,0.0007,0,0,0,0,0.0538,0.0322,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,2012,0.302,0.2715,0.0619,0,0,0,0.0078,0.1788,0.078,0,0,0,0.0049,0.0044,0.001,0.0001,0.001,0.0001,0,0,0.0001,0.056,0.0323,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,2013,0.2851,0.2442,0.0546,0.0205,0.0176,0.004,0.0077,0.1735,0.0755,0.0005,0.0121,0.0053,0.0054,0.0047,0.001,0.0001,0.0013,0.0001,0,0,0.0001,0.0519,0.0291,0.0038,0.0021,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,2014,0.2877,0.2349,0.0516,0.0214,0.0174,0.0038,0.008,0.1798,0.078,0.0006,0.0125,0.0056,0.0058,0.0049,0.001,0.0001,0.0016,0.0001,0,0.0001,0.0001,0.0512,0.0279,0.0039,0.0021,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,2015,0.2898,0.2256,0.0487,0.0226,0.0173,0.0037,0.0083,0.1859,0.0804,0.0006,0.0131,0.0059,0.0063,0.0051,0.001,0.0002,0.002,0.0002,0,0.0001,0.0001,0.0504,0.0267,0.004,0.0021,,,,,,,,,,,,,,,,,,,,,,,,,,,
