,Entity,Year,Fossil fuels (% equivalent primary energy),Transport_x,Agriculture,Land-use change and forestry,Waste,Industry,Manufacturing and construction,Transport_y,Electricity and heat,Buildings,Fugitive emissions,Other fuel combustion,Aviation and shipping,Renewables (% equivalent primary energy),Fossil fuels (% electricity),Renewables (% electricity)
14,Africa,2004,92.07444763183594,191699996.9482422,744270019.53125,670679992.6757812,115800003.0517578,120680000.30517578,118910003.66210938,196339996.33789065,434380004.8828125,129169998.16894533,376000000.0,14159999.84741211,37479999.54223633,6.93337345123291,80.04415893554688,16.825420379638672
15,Africa,2005,92.17848205566406,196070007.32421875,779140014.6484375,686760009.765625,118589996.33789062,125449996.9482422,135520004.27246094,200800003.0517578,437760009.765625,134860000.61035156,387779998.7792969,18680000.30517578,37310001.373291016,6.998331069946289,80.85244750976562,16.532817840576172
16,Africa,2006,92.16838836669922,200759994.50683597,768940002.4414062,676200012.2070312,122129997.25341795,133380004.8828125,135669998.1689453,205569992.0654297,446419982.91015625,138199996.9482422,383660003.6621094,21629999.1607666,36599998.47412109,7.123232841491699,81.17703247070312,16.49860191345215
17,Africa,2007,92.20699310302734,210880004.8828125,809600036.6210938,681929992.6757812,125650001.5258789,140589996.33789062,136040008.54492188,215970001.22070312,460570007.3242188,147000000.0,375660003.6621094,23180000.30517578,38549999.23706055,7.009408473968506,81.25521087646484,16.27716827392578
18,Africa,2008,92.44693756103516,223910003.66210935,830500000.0,685919982.9101562,129220001.22070312,146940002.44140625,136479995.72753906,229320007.32421875,498670013.4277344,154139999.38964844,379920013.4277344,22840000.15258789,40400001.525878906,6.716137886047363,81.09965515136719,16.296865463256836
19,Africa,2009,92.42403411865234,233759994.50683597,822770019.53125,675390014.6484375,132750000.0,157350006.10351562,146949996.9482422,239430007.9345703,466010009.765625,156520004.27246094,360290008.5449219,26469999.31335449,37790000.915527344,6.775711536407471,80.76775360107422,16.633481979370117
20,Africa,2010,92.08650207519533,254580001.8310547,858710021.9726562,692640014.6484375,136320007.32421875,162830001.8310547,141479995.72753906,260799987.79296875,519559997.55859375,139199996.9482422,374350006.1035156,29850000.381469727,41670001.98364258,7.101892471313477,80.48696899414062,16.941186904907227
21,Africa,2011,92.00454711914062,263570007.32421875,881849975.5859375,656929992.6757812,139729995.72753906,166389999.38964844,141190002.44140625,270010009.765625,510590026.8554688,145100006.10351562,317239990.234375,31049999.237060547,40990001.6784668,7.22559928894043,80.31118774414062,17.035776138305664
22,Africa,2012,92.26759338378906,285690002.44140625,894609985.3515625,659619995.1171875,143089996.33789062,174740005.49316406,136979995.72753906,292790008.5449219,539630004.8828125,159570007.32421875,345529998.7792969,32590000.15258789,43110000.61035156,6.989345550537109,81.26386260986328,16.43901824951172
23,Africa,2013,92.0242919921875,308579986.5722656,899590026.8554688,653630004.8828125,146540008.54492188,180869995.1171875,146830001.8310547,316260009.765625,545340026.8554688,164250000.0,320299987.79296875,30360000.61035156,41029998.77929688,7.195614337921143,80.66278076171875,16.964637756347656
24,Africa,2014,91.7523956298828,321019989.0136719,905909973.1445312,649909973.1445312,149929992.67578125,188509994.50683597,148089996.33789062,328959991.4550781,572109985.3515625,167839996.33789062,309890014.6484375,30060001.373291016,40900001.525878906,7.509692192077637,79.97505950927734,17.726316452026367
25,Africa,2015,91.89559936523438,326089996.3378906,922470031.7382812,659229980.46875,153350006.10351562,195400009.15527344,143080001.8310547,334209991.4550781,565580017.0898438,167800003.0517578,308730010.9863281,29250000.0,41220001.220703125,7.464454174041748,80.29545593261719,17.680171966552734
26,Africa,2016,91.93553924560548,340970001.2207031,954119995.1171876,703669982.9101562,156960006.7138672,205160003.66210935,144399993.89648438,349470001.2207031,568539978.0273438,167190002.44140625,306769989.0136719,24610000.61035156,38709999.084472656,7.307821273803711,80.0145034790039,17.649677276611328
27,Africa,2017,91.56649017333984,343250000.0,958779968.2617188,699700012.2070312,160619995.1171875,209940002.44140625,148580001.8310547,351779998.7792969,575000000.0,182639999.38964844,326160003.6621094,27309999.465942383,37520000.45776367,7.739742279052734,79.13992309570312,18.65367126464844
28,Africa,2018,91.27188110351562,347170013.4277344,968380004.8828124,690390014.6484375,164279998.77929688,218229995.72753903,157180007.9345703,355839996.3378906,579799987.7929688,188949996.9482422,334309997.5585937,28030000.686645508,42380001.068115234,8.169642448425293,78.29743957519531,19.72324752807617
29,Africa,2019,90.80626678466795,355820007.32421875,978839965.8203124,687320007.3242188,167860000.61035156,222539993.2861328,159509994.50683594,364660003.6621094,598539978.0273438,192500000.0,339800018.3105469,30729999.542236328,40849998.47412109,8.559300422668457,77.06985473632812,20.73514938354492
30,Algeria,2000,99.94676971435548,16850000.381469727,8369999.885559082,970000.0286102296,9989999.771118164,4550000.190734863,6179999.828338623,17219999.313354492,29200000.762939453,9359999.656677246,77750000.0,0.0,1970000.0286102293,0.0532354824244976,93.8139419555664,0.2124980390071869
31,Algeria,2001,99.93478393554688,17040000.915527344,8569999.694824219,-2400000.095367432,10229999.542236328,4780000.20980835,6269999.980926514,17409999.84741211,30229999.542236328,9560000.4196167,72250000.0,0.0,2000000.0,0.065218485891819,93.74647521972656,0.2591549158096313
32,Algeria,2002,99.94832611083984,19360000.61035156,8210000.038146973,-2380000.114440918,10470000.267028809,5320000.171661377,6630000.114440918,19770000.457763672,32319999.69482422,9930000.30517578,72389999.38964844,0.0,2190000.057220459,0.0516767688095569,93.82233428955078,0.2061631828546524
33,Algeria,2003,99.77189636230467,21760000.22888184,8590000.15258789,-2339999.9141693115,10710000.038146973,5550000.190734863,7030000.20980835,22190000.534057617,32569999.69482422,10720000.267028809,80300003.05175781,0.0,1909999.966621399,0.2281039953231811,93.30126953125,0.897453248500824
34,Algeria,2004,99.793212890625,22030000.686645508,9460000.038146973,-2390000.104904175,10949999.809265137,6659999.847412109,8109999.656677246,22479999.542236328,31780000.686645508,11550000.190734863,79580001.83105469,0.0,2210000.0381469727,0.2067869007587433,93.25098419189452,0.8032256364822388
35,Algeria,2005,99.56587982177734,24159999.84741211,8859999.656677246,-2359999.895095825,11189999.5803833,7679999.828338623,8229999.542236328,24629999.1607666,32639999.38964844,12539999.961853027,82239997.86376953,0.0,2380000.114440918,0.434118777513504,92.43697357177734,1.6373285055160522
36,Algeria,2006,99.83673095703124,25629999.1607666,9359999.656677246,-2349999.9046325684,11430000.30517578,9000000.0,8720000.267028809,26110000.61035156,34279998.779296875,12229999.542236328,84720001.22070312,0.0,2250000.0,0.1632719486951828,93.39427185058594,0.6177079677581787
37,Algeria,2007,99.84009552001952,27600000.381469727,9470000.267028809,-2220000.028610229,11670000.076293943,9899999.618530272,9739999.771118164,28149999.618530277,33990001.6784668,13649999.618530272,82260002.13623047,0.0,2250000.0,0.1599045693874359,93.13856506347656,0.605735719203949
38,Algeria,2008,99.81224822998048,29190000.534057617,9090000.15258789,-2299999.952316284,11909999.84741211,10930000.30517578,10109999.656677246,29770000.457763672,35319999.69482422,13619999.885559082,83599998.4741211,0.0,2299999.952316284,0.1877543032169342,93.3220672607422,0.7033327221870422
39,Algeria,2009,99.7872085571289,30520000.457763672,9970000.267028809,-2380000.114440918,12149999.618530272,12010000.228881836,9869999.885559082,31139999.38964844,36709999.084472656,13520000.457763672,77330001.83105469,3960000.0381469727,2380000.114440918,0.2127854824066162,83.294677734375,0.7932826280593872
40,Algeria,2010,99.8848648071289,31709999.084472656,10520000.457763672,-2400000.095367432,12390000.343322754,12489999.771118164,10710000.038146973,32389999.38964844,36479999.54223633,13279999.732971191,78029998.77929688,3599999.9046325684,2470000.028610229,0.1151323765516281,93.648193359375,0.3981633186340332
41,Algeria,2011,99.76473999023438,34220001.220703125,10810000.4196167,-540000.0214576721,12640000.343322754,13050000.190734863,10819999.69482422,34939998.626708984,39349998.47412109,14649999.618530272,75500000.0,3990000.009536743,2279999.9713897705,0.2352599054574966,89.83683013916016,0.7463517189025879
42,Algeria,2012,99.77546691894533,38639999.38964844,11539999.961853027,-439999.9976158142,12899999.618530272,13189999.5803833,10069999.69482422,39470001.220703125,43509998.3215332,16840000.15258789,84349998.4741211,3559999.942779541,2259999.990463257,0.2245319485664367,92.98395538330078,0.7242940068244934
43,Algeria,2013,99.93524169921876,40259998.3215332,11810000.4196167,-610000.0143051147,13159999.84741211,13409999.84741211,10020000.457763672,41139999.38964844,43009998.3215332,18540000.915527344,84839996.33789062,4150000.095367432,2470000.028610229,0.0647631958127021,93.48806762695312,0.213057279586792
44,Algeria,2014,99.88249969482422,43509998.3215332,12409999.84741211,-600000.0238418579,13409999.84741211,14409999.84741211,10260000.228881836,44479999.54223633,47909999.84741211,19260000.22888184,88980003.3569336,2390000.104904175,2309999.942779541,0.1175024658441543,93.63179779052734,0.3953860998153686
45,Algeria,2015,99.90319061279295,46409999.84741211,12560000.4196167,-620000.0047683716,13670000.076293943,15430000.30517578,10829999.923706057,47450000.76293945,49819999.69482422,21079999.92370605,89790000.91552734,2509999.990463257,2410000.0858306885,0.09681336581707,93.69458770751952,0.3226838111877441
46,Algeria,2016,99.85418701171876,45189998.62670898,12430000.30517578,239999.994635582,13939999.5803833,17010000.228881836,10909999.84741211,46209999.084472656,47919998.16894531,21350000.381469727,92919998.16894533,2680000.066757202,2099999.9046325684,0.1458071172237396,93.5532455444336,0.4733327627182007
47,Algeria,2017,99.75298309326172,44689998.62670898,12289999.961853027,479999.989271164,14210000.038146973,18639999.38964844,12050000.190734863,45689998.62670898,48139999.38964844,22459999.084472656,92059997.55859376,3359999.895095825,2089999.9141693115,0.2470182925462722,93.21599578857422,0.7616717219352722
48,Algeria,2018,99.71231842041016,45459999.084472656,12340000.15258789,200000.00298023224,14479999.542236328,18959999.084472656,12770000.457763672,46479999.54223633,48610000.61035156,26420000.076293945,93760002.13623048,4230000.019073486,2089999.9141693115,0.2876792848110199,93.0435791015625,0.9522193670272828
49,Algeria,2019,99.70525360107422,45619998.931884766,12460000.038146973,219999.9988079071,14739999.771118164,19239999.771118164,13949999.809265137,46639999.38964844,50090000.15258789,27129999.1607666,91980003.3569336,5769999.980926514,1519999.9809265137,0.2947469651699066,93.03665924072266,0.9530584812164308
50,Argentina,1990,85.68010711669922,28340000.15258789,118730003.3569336,45349998.47412109,11000000.0,3799999.952316284,14199999.809265137,29049999.237060547,29079999.92370605,17600000.381469727,19239999.771118164,4619999.885559082,3630000.114440918,10.292678833007812,49.90882873535156,34.98918533325195
