Entity,Code,Year,Solar (TWh growth - equivalent),Coal (TWh growth),Gas (TWh growth),Other renewables (TWh growth - equivalent),Nuclear (TWh growth - equivalent),Hydro (TWh growth - equivalent),Wind (TWh growth - equivalent),Oil (TWh growth)
Other Europe (BP),,2004,0.00028333335649222136,5.33251953125,7.650554656982422,0.048762500286102295,0,11.830352783203125,0.01308333408087492,11.602828979492188
Other Europe (BP),,2005,0.00027777778450399637,-13.460891723632812,-1.0393142700195312,0.0025444403290748596,0,1.4448318481445312,0.010914718732237816,6.8769073486328125
Other Europe (BP),,2006,-0.000011111143976449966,7.3798828125,5.875751495361328,0.01063777506351471,0,-6.580589294433594,0.013147223740816116,4.1959686279296875
Other Europe (BP),,2007,0.0011194443795830011,-8.262237548828125,-1.8004150390625,0.03841222822666168,0,-12.92266845703125,0.0019436106085777283,8.872146606445312
Other Europe (BP),,2008,0.0005583332385867834,11.670211791992188,-6.290187835693359,-0.023472502827644348,0,5.1280059814453125,-0.008216388523578644,0.3528289794921875
Other Europe (BP),,2009,0.005388888530433178,2.3870086669921875,-6.844537734985352,0.009695559740066528,0,11.817924499511719,0.005498610436916351,0.10211181640625
Other Europe (BP),,2010,0.0077500008046627045,0.9066925048828125,5.980886459350586,-0.0031275078654289246,0,23.393203735351562,-0.0014852769672870636,2.675750732421875
Other Europe (BP),,2011,0.02539888769388199,20.089202880859375,6.684898376464844,0.018383614718914032,0,-38.311546325683594,-0.00039999932050704956,0.3780670166015625
Other Europe (BP),,2012,0.04740999639034271,-18.201705932617188,-2.763866424560547,0.03832972049713135,0,1.4146957397460938,-0.010618053376674652,-11.094070434570312
Other Europe (BP),,2013,0.054765842854976654,5.7479248046875,2.329986572265625,0.047739177942276,0,22.540969848632812,0.032425832003355026,-3.4087982177734375
Other Europe (BP),,2014,0.13781054317951202,-29.670120239257812,-0.6368255615234375,-0.00329473614692688,0,-9.962272644042969,0.035236939787864685,-1.266387939453125
Other Europe (BP),,2015,0.10244360566139221,19.897506713867188,4.0382843017578125,0.005965009331703186,0,-1.2370529174804688,0.057431384921073914,6.24407958984375
Other Europe (BP),,2016,0.12119665741920471,6.628662109375,1.0021247863769531,0.04028916358947754,0,8.529647827148438,0.08216889202594757,12.599609375
Other Europe (BP),,2017,0.09286558628082275,-1.513214111328125,6.913597106933594,0.16151165962219238,0,-18.812454223632812,0.539681077003479,9.867645263671875
Other Europe (BP),,2018,0.05761444568634033,-1.6205596923828125,0.21213531494140625,0.11265000700950623,0,25.626205444335938,0.7389898896217346,-2.24530029296875
Other Europe (BP),,2019,0.14024358987808228,-4.8618927001953125,1.5215568542480469,0.1271257996559143,0,-17.459739685058594,2.895780563354492,5.665069580078125
Other Europe (BP),,2020,0.16870832443237305,4.428375244140625,-0.30193328857421875,0.16106802225112915,0,-6.983001708984375,0.27898406982421875,-19.868362426757812
Other Europe (BP),,2021,0.1494154930114746,-77.2057113647461,7.928066253662109,0.22005915641784668,0,25.328651428222656,0.5540204048156738,3.8053131103515625
Other Europe (BP),,1966,,-2.3983612060546875,0.7709999084472656,,0,2.800668716430664,,8.56997299194336
Other Europe (BP),,1967,,-12.959342956542969,0.6652250289916992,,0,2.4606170654296875,,12.69588851928711
Other Europe (BP),,1968,,3.9156723022460938,1.223374843597412,,0,3.4423370361328125,,11.333259582519531
Other Europe (BP),,1969,,-1.3670654296875,1.4689126014709473,,0,8.838836669921875,,5.958259582519531
Other Europe (BP),,1970,,4.5866851806640625,2.383087635040283,,0,0.15416717529296875,,16.674781799316406
Other Europe (BP),,1971,,10.231475830078125,1.8795747756958008,,0,3.3439483642578125,,27.66596221923828
Other Middle East (BP),,1972,0,-0.014839991927146912,2.349259376525879,0,,-0.06209683418273926,0,-2.90692138671875
Other Middle East (BP),,1973,0,0.08544553816318512,4.942750930786133,0,,-1.105913758277893,0,9.395805358886719
Other Middle East (BP),,1974,0,-0.050555549561977386,3.9076805114746094,0,,1.9368277788162231,0,6.648109436035156
Other Middle East (BP),,1975,0,0.007826954126358032,1.0815887451171875,0,,1.182795524597168,0,5.564048767089844
Other Middle East (BP),,1976,0,-0.03868139535188675,1.3607006072998047,0,,1.4193549156188965,0,9.688156127929688
Other Middle East (BP),,1977,0,0,1.9660797119140625,0,,1.590860366821289,0,10.089569091796875
Other Middle East (BP),,1978,0,0.023353062570095062,2.429800033569336,0,,0.9669356346130371,0,10.2821044921875
Other Middle East (BP),,1979,0,-0.02349250763654709,2.964519500732422,0,,0.9048376083374023,0,17.586654663085938
Other Middle East (BP),,1980,0,0,-5.55518913269043,0,,0.6209688186645508,0,6.6795806884765625
Other Middle East (BP),,1981,0,0.03583195060491562,-1.7751407623291016,0,0,0.28682804107666016,0,11.223892211914062
Other Middle East (BP),,1982,0,-0.014758333563804626,13.15077018737793,0,0,0.29865550994873047,0,18.182022094726562
Other Middle East (BP),,1983,0,-0.03758833557367325,1.9762420654296875,0,0,-0.7303762435913086,0,14.4913330078125
