,,Ratio of Market demand,,,,,,,,,,,,,,,,,,,,,,,,,,GHG emissions by Sector all in tonnes of c02 eq,,,,,,,,,,,Primary Energy,,,,,,
Entity,Year,"('Petrol', 'Econ')","('Petrol', 'Mid')","('Petrol', 'Lux')","('Adv Petrol', 'Econ')","('Adv Petrol', 'Mid')","('Adv Petrol', 'Lux')","('Diesel', 'Econ')","('Diesel', 'Mid')","('Diesel', 'Lux')","('Adv Diesel', 'Econ')","('Adv Diesel', 'Mid')","('Adv Diesel', 'Lux')","('CNG', 'Econ')","('CNG', 'Mid')","('CNG', 'Lux')","('Hybrid', 'Econ')","('Hybrid', 'Mid')","('Hybrid', 'Lux')","('Electric', 'Econ')","('Electric', 'Mid')","('Electric', 'Lux')","('Bikes', 'Econ')","('Bikes', 'Lux')","('Electric Bikes', 'Adv Econ')","('Electric Bikes', 'Adv Lux')",Transport_x(only co2 emissions),Agriculture,Land-use change and forestry,Waste,Industry,Manufacturing and construction,Transport_y(by sector billions tonnes,Electricity and heat,Buildings,Fugitive emissions,Other fuel combustion,Aviation and shipping,Fossil fuels (% equivalent primary energy),Renewables (% equivalent primary energy),Fossil fuels (% electricity),Renewables (% electricity),fossil_demand,ev_demand,ev_savings
Africa OPEC,2015,0.213,0.2198,0.2965,0.0159,0.0162,0.0217,0.0094,0.0942,0.0353,0.0007,0.0067,0.0026,0.0066,0.0039,0.0004,0.0005,0.0069,0.0028,0,0.0003,0.0001,0.035,0.0085,0.0026,0.0007,46409999.85,12560000.42,-620000.0048,13670000.08,15430000.31,10829999.92,47450000.76,49819999.69,21079999.92,89790000.92,2509999.99,2410000.086,99.90319061,0.096813366,93.69458771,0.322683811,0.9864,0.0037,174084.5493
Argentina,2004,0.1875,0.2335,0.4003,0,0,0,0.0033,0.0702,0.0385,0,0,0,0.0017,0.0018,0.0006,0,0.0012,0.0003,0,0,0,0.0539,0.0073,0,0,37169998.17,130809997.6,95449996.95,17450000.76,7920000.076,20129999.16,38110000.61,48759998.32,21899999.62,23540000.92,10069999.69,3980000.019,84.89296722,12.18557549,60.75713348,31.32074165,0.9986,0,0
Argentina,2005,0.1957,0.2356,0.3865,0,0,0,0.0034,0.0709,0.039,0,0,0,0.0021,0.0021,0.0006,0,0.0015,0.0006,0,0,0,0.0533,0.0087,0,0,37709999.08,130339996.3,95349998.47,17690000.53,8880000.114,20549999.24,38659999.85,50610000.61,22819999.69,22569999.69,10609999.66,4599999.905,84.82277679,12.78852367,60.17102432,33.29021072,0.9979,0,0
Argentina,2006,0.2001,0.2339,0.3751,0,0,0,0.0049,0.0745,0.0388,0,0,0,0.0023,0.0023,0.0006,0,0.0018,0.0009,0,0,0,0.0553,0.0093,0,0,40549999.24,133639999.4,95300003.05,17989999.77,11369999.89,22229999.54,41560001.37,53919998.17,22819999.69,22450000.76,11270000.46,4630000.114,84.01231384,13.44946194,58.56747055,34.50011063,0.9971,0,0
Argentina,2007,0.2018,0.2345,0.3681,0,0,0,0.0058,0.0776,0.0394,0,0,0,0.0026,0.0025,0.0004,0,0.0023,0.0011,0,0,0,0.0554,0.0086,0,0,43880001.07,136619995.1,95279998.78,18290000.92,13560000.42,21180000.31,44970001.22,54459999.08,26690000.53,21690000.53,12369999.89,5210000.038,87.13004303,10.59915447,64.73139954,28.49829674,0.9967,0,0
Argentina,2008,0.2046,0.2381,0.3545,0,0,0,0.0057,0.0798,0.0402,0,0,0,0.0029,0.0027,0.0004,0,0.0026,0.0013,0,0,0,0.0583,0.009,0,0,45849998.47,134009994.5,95370002.75,18590000.15,15520000.46,20770000.46,47000000,59169998.17,25329999.92,21889999.39,11989999.77,5590000.153,87.29216766,10.43706417,67.0344162,26.61720467,0.9962,0,0
Argentina,2009,0.2106,0.2343,0.3479,0,0,0,0.0068,0.0818,0.0405,0,0,0,0.0034,0.0031,0.0004,0.0002,0.0031,0.0014,0,0,0,0.0573,0.0092,0,0,42020000.46,123500000,95500000,18889999.39,17299999.24,17639999.39,43090000.15,57290000.92,24889999.39,20540000.92,10659999.85,5500000,85.6472702,11.78350639,63.54575348,29.30204964,0.9953,0,0
Argentina,2010,0.2125,0.2333,0.3411,0,0,0,0.008,0.0834,0.0403,0,0,0,0.0038,0.0034,0.0004,0.0003,0.0035,0.0016,0,0,0,0.0592,0.0093,0,0,44200000.76,116610000.6,95220001.22,19190000.53,19629999.16,19129999.16,45459999.08,59520000.46,28399999.62,20010000.23,11659999.85,6619999.886,86.16850281,11.66137505,66.20763397,27.64278221,0.9947,0,0
Argentina,2011,0.2163,0.2323,0.3318,0,0,0,0.0084,0.0851,0.0394,0,0,0,0.0077,0.0035,0.0004,0.0003,0.004,0.0017,0,0.0001,0,0.0593,0.0096,0,0,45669998.17,116879997.3,65839996.34,19510000.23,20829999.92,20799999.24,47040000.92,64629997.25,28500000,19979999.54,12090000.15,7190000.057,87.2074585,10.92944813,69.30162811,25.20345497,0.9938,0.0001,4595.491866
Argentina,2012,0.218,0.2324,0.3241,0,0,0,0.0087,0.0929,0.0386,0,0,0,0.0049,0.0036,0.0004,0.0003,0.0048,0.0021,0,0.0001,0,0.0591,0.0098,0,0,44819999.69,118870002.7,65900001.53,19819999.69,21219999.31,19270000.46,46220001.22,67680000.31,29959999.08,20870000.84,11399999.62,8340000.153,88.00098419,10.2164259,72.08043671,22.808321,0.9925,0.0001,4515.868987
Argentina,2013,0.2089,0.2186,0.3002,0.0148,0.0155,0.0213,0.0086,0.0889,0.0357,0.0006,0.0062,0.0025,0.0055,0.0038,0.0004,0.0004,0.0053,0.0023,0,0.0002,0,0.0472,0.0091,0.0034,0.0007,47740001.68,121779998.8,66519996.64,20129999.16,22399999.62,21200000.76,49229999.54,65089996.34,31120000.84,20799999.24,12720000.27,8539999.962,87.39830017,10.95007896,70.15630341,24.99004173,0.9878,0.0043,207817.3792
Argentina,2014,0.2106,0.2205,0.2973,0.0153,0.0159,0.0214,0.0089,0.0912,0.0362,0.0006,0.0064,0.0026,0.0059,0.0038,0.0004,0.0004,0.0059,0.0025,0,0.0002,0,0.0417,0.0086,0.003,0.0007,44060001.37,122910003.7,65660003.66,20450000.76,22950000.76,21600000.38,45520000.46,67089996.34,30059999.47,21020000.46,11539999.96,7809999.943,87.49810791,11.03897762,70.57549286,24.92580795,0.9873,0.0039,174044.3688
Argentina,2015,0.2142,0.2086,0.2947,0.0156,0.0151,0.0213,0.0097,0.0942,0.0383,0.0007,0.0066,0.0027,0.006,0.0035,0.0004,0.0004,0.0058,0.0023,0,0.0002,0,0.0462,0.0092,0.0034,0.0007,46279998.78,122309997.6,65809997.56,20760000.23,23969999.31,21790000.92,47819999.69,69879997.25,30370000.84,21149999.62,11939999.58,5780000.21,87.26728058,10.90739727,71.11924744,23.69857597,0.987,0.0043,201625.1213
Australia,2004,0.0734,0.073,0.7604,0,0,0,0,0.0024,0.0723,0,0,0,0,0,0,0,0.0004,0,0,0,0,0.0032,0.0148,0,0,79180000.31,180339996.3,30129999.16,14420000.08,12380000.11,45540000.92,81480003.36,220539993.3,11859999.66,24680000.31,6190000.057,10079999.92,95.96343994,4.036560535,90.93419647,8.450440407,0.9995,0,0
