Year,Month,Make,Model,Quantity,Type of engine
2009,4,Toyota ,Toyota Yaris,111,gas
2009,4,Mazda ,Mazda 6,103,gas
2009,4,Mitsubishi ,Mitsubishi Outlander,100,gas
2009,4,Volvo ,Volvo XC60,87,gas
2009,5,Volkswagen ,Volkswagen Golf,509,gas
2009,5,Toyota ,Toyota Avensis,375,gas
2009,5,Opel ,Opel Insignia,237,EV/Hybrid
2009,5,Skoda ,Skoda Octavia,232,gas
2009,5,Ford ,Ford Focus,217,gas
2009,5,Ford ,Ford Mondeo,197,gas
2009,5,Volkswagen ,Volkswagen Passat,193,gas
2009,5,Volkswagen ,Volkswagen Tiguan,172,gas
2009,5,BMW ,BMW 3-serie,168,gas
2009,5,Nissan ,Nissan Qashqai,162,gas
2009,5,Audi ,Audi A4,151,gas
2009,5,Peugeot ,Peugeot 308,148,gas
2009,5,Toyota ,Toyota Auris,129,gas
2009,5,Toyota ,Toyota Yaris,126,gas
2009,5,Toyota ,Toyota Corolla,126,gas
2009,5,Honda ,Honda CR-V,123,gas
2009,5,Volvo ,Volvo XC60,110,gas
2009,5,Peugeot ,Peugeot 207,108,gas
2009,5,Volvo ,Volvo V70,107,gas
2009,5,Mazda ,Mazda 6,54,gas
2009,6,Volkswagen ,Volkswagen Golf,412,gas
2009,6,Ford ,Ford Mondeo,368,gas
2009,6,Toyota ,Toyota Avensis,353,gas
2009,6,Opel ,Opel Insignia,281,EV/Hybrid
2009,6,Volkswagen ,Volkswagen Passat,233,gas
2009,6,Volvo ,Volvo V70,216,gas
2009,6,Nissan ,Nissan Qashqai,202,gas
2009,6,Volvo ,Volvo V50,191,gas
2009,6,Ford ,Ford Focus,190,gas
2009,6,BMW ,BMW 3-serie,188,gas
2009,6,Audi ,Audi A4,186,gas
2009,6,Skoda ,Skoda Octavia,182,gas
2009,6,Hyundai ,Hyundai i30,147,gas
2009,6,Volkswagen ,Volkswagen Tiguan,141,gas
2009,6,Mazda ,Mazda 6,123,gas
2009,6,Peugeot ,Peugeot 308,114,gas
2009,6,Honda ,Honda CR-V,109,gas
2009,6,Volvo ,Volvo XC60,109,gas
2009,6,Toyota ,Toyota Yaris,99,gas
2009,6,Toyota ,Toyota Auris,96,gas
2009,7,Volkswagen ,Volkswagen Golf,482,gas
2009,7,Volkswagen ,Volkswagen Passat,448,gas
2009,7,Toyota ,Toyota Avensis,443,gas
2009,7,Volvo ,Volvo V70,406,gas
2009,7,Ford ,Ford Mondeo,339,gas
2009,7,Nissan ,Nissan Qashqai,325,gas
2009,7,Toyota ,Toyota Auris,288,gas
2009,7,Volvo ,Volvo V50,252,gas
2009,7,Audi ,Audi A4,246,gas
2009,7,Opel ,Opel Insignia,236,EV/Hybrid
2009,7,Volkswagen ,Volkswagen Tiguan,205,gas
2009,7,Skoda ,Skoda Octavia,195,gas
2009,7,Ford ,Ford Focus,195,gas
2009,7,Volvo ,Volvo XC60,178,gas
2009,7,Honda ,Honda CR-V,173,gas
2009,7,BMW ,BMW 3-serie,169,gas
2009,7,Hyundai ,Hyundai i30,165,gas
2009,7,Peugeot ,Peugeot 308,138,gas
2009,7,Toyota ,Toyota Yaris,113,gas
2009,7,Mazda ,Mazda 6,89,gas
2009,8,Volkswagen ,Volkswagen Golf,453,gas
2009,8,Toyota ,Toyota Avensis,343,gas
2009,8,Nissan ,Nissan Qashqai,323,gas
2009,8,Volkswagen ,Volkswagen Passat,298,gas
2009,8,Audi ,Audi A4,224,gas
2009,8,Toyota ,Toyota Auris,219,gas
2009,8,BMW ,BMW 3-serie,194,gas
2009,8,Volkswagen ,Volkswagen Tiguan,190,gas
2009,8,Ford ,Ford Mondeo,184,gas
2009,8,Toyota ,Toyota Yaris,174,gas
2009,8,Skoda ,Skoda Octavia,169,gas
2009,8,Volvo ,Volvo V70,169,gas
2009,8,Hyundai ,Hyundai i30,165,gas
2009,8,Ford ,Ford Focus,154,gas
2009,8,Opel ,Opel Insignia,116,EV/Hybrid
2009,8,Peugeot ,Peugeot 308,99,gas
2009,8,Honda ,Honda CR-V,99,gas
2009,8,Mazda ,Mazda 6,90,gas
2009,8,Volvo ,Volvo V50,69,gas
2009,8,Volvo ,Volvo XC60,58,gas
2009,9,Toyota ,Toyota Prius,515,EV/Hybrid
2009,9,Volkswagen ,Volkswagen Golf,450,gas
2009,9,Ford ,Ford Mondeo,398,gas
2009,9,Volvo ,Volvo V70,347,gas
2009,9,Toyota ,Toyota Avensis,318,gas
2009,9,Nissan ,Nissan Qashqai,302,gas
2009,9,Volkswagen ,Volkswagen Passat,276,gas
2009,9,Volvo ,Volvo V50,243,gas
2009,9,Volkswagen ,Volkswagen Tiguan,238,gas
2009,9,Ford ,Ford Focus,229,gas
2009,9,BMW ,BMW 3-serie,198,gas
2009,9,Skoda ,Skoda Octavia,194,gas
2009,9,Toyota ,Toyota Auris,166,gas
2009,9,Mazda ,Mazda 6,164,gas
2009,9,Audi ,Audi A4,133,gas
2009,9,Opel ,Opel Insignia,132,EV/Hybrid
2009,9,Toyota ,Toyota Yaris,125,gas
2009,9,Hyundai ,Hyundai i30,123,gas
2009,9,Honda ,Honda CR-V,72,gas
2009,9,Peugeot ,Peugeot 308,62,gas
2009,10,Volkswagen ,Volkswagen Golf,632,gas
2009,10,Ford ,Ford Mondeo,395,gas
2009,10,Toyota ,Toyota Avensis,345,gas
2009,10,Skoda ,Skoda Octavia,318,gas
2009,10,Nissan ,Nissan Qashqai,307,gas
2009,10,Toyota ,Toyota Prius,290,EV/Hybrid
2009,10,Volvo ,Volvo V70,288,gas
2009,10,Ford ,Ford Focus,278,gas
2009,10,Volkswagen ,Volkswagen Passat,254,gas
2009,10,Volvo ,Volvo V50,220,gas
2009,10,Audi ,Audi A4,217,gas
2009,10,Volkswagen ,Volkswagen Tiguan,193,gas
2009,10,BMW ,BMW 3-serie,175,gas
2009,10,Opel ,Opel Insignia,167,EV/Hybrid
2009,10,Toyota ,Toyota Auris,162,gas
2009,10,Toyota ,Toyota Yaris,158,gas
2009,10,Hyundai ,Hyundai i30,125,gas
2009,10,Honda ,Honda CR-V,71,gas
2009,10,Peugeot ,Peugeot 308,69,gas
2009,10,Mazda ,Mazda 6,68,gas
2009,11,Volkswagen ,Volkswagen Golf,567,gas
2009,11,Volvo ,Volvo V70,538,gas
2009,11,Ford ,Ford Mondeo,335,gas
2009,11,Volkswagen ,Volkswagen Tiguan,325,gas
2009,11,Toyota ,Toyota Avensis,318,gas
2009,11,Volkswagen ,Volkswagen Passat,311,gas
2009,11,Nissan ,Nissan Qashqai,291,gas
2009,11,Toyota ,Toyota Urban Cruiser,272,gas
2009,11,Audi ,Audi A4,226,gas
2009,11,Skoda ,Skoda Octavia,220,gas
2009,11,Volvo ,Volvo V50,218,gas
2009,11,Ford ,Ford Focus,215,gas
2009,11,Toyota ,Toyota Prius,178,EV/Hybrid
2009,11,Toyota ,Toyota Yaris,170,gas
2009,11,Toyota ,Toyota Rav4,148,gas
2009,11,Volvo ,Volvo XC60,145,gas
2009,11,Toyota ,Toyota Auris,143,gas
2009,11,Opel ,Opel Insignia,143,EV/Hybrid
2009,11,BMW ,BMW 3-serie,130,gas
2009,11,Peugeot ,Peugeot 308,85,gas
2009,12,Volvo ,Volvo V70,668,gas
2009,12,Volkswagen ,Volkswagen Golf,454,gas
2009,12,Ford ,Ford Mondeo,421,gas
2009,12,Volkswagen ,Volkswagen Passat,414,gas
2009,12,Volvo ,Volvo XC60,384,gas
2009,12,Volkswagen ,Volkswagen Tiguan,370,gas
2009,12,Ford ,Ford Focus,277,gas
2009,12,Toyota ,Toyota Avensis,257,gas
2009,12,Audi ,Audi A4,257,gas
2009,12,Nissan ,Nissan Qashqai,231,gas
2009,12,Skoda ,Skoda Octavia,211,gas
2009,12,Toyota ,Toyota Yaris,182,gas
2009,12,Toyota ,Toyota Urban Cruiser,166,gas
2009,12,Opel ,Opel Insignia,147,EV/Hybrid
2009,12,Toyota ,Toyota Rav4,142,gas
2009,12,BMW ,BMW 3-serie,130,gas
2009,12,Toyota ,Toyota Auris,123,gas
2009,12,Volvo ,Volvo V50,81,gas
2009,12,Toyota ,Toyota Prius,78,EV/Hybrid
2009,12,Peugeot ,Peugeot 308,39,gas
2010,1,Volkswagen ,Volkswagen Golf,739,gas
2010,1,Toyota ,Toyota Prius,403,EV/Hybrid
2010,1,Toyota ,Toyota Avensis,347,gas
2010,1,Peugeot ,Peugeot 3008,336,gas
2010,1,Volkswagen ,Volkswagen Polo,310,gas
2010,1,Ford ,Ford Fiesta,308,gas
2010,1,Toyota ,Toyota Urban Cruiser,302,gas
2010,1,Volvo ,Volvo V50,302,gas
2010,1,Volkswagen ,Volkswagen Passat,299,gas
2010,1,Nissan ,Nissan Qashqai,279,gas
2010,1,Ford ,Ford Mondeo,226,gas
2010,1,Peugeot ,Peugeot 308,211,gas
2010,1,Skoda ,Skoda Octavia,197,gas
2010,1,Toyota ,Toyota Auris,190,gas
2010,1,Toyota ,Toyota Yaris,186,gas
2010,1,Toyota ,Toyota Rav4,182,gas
2010,1,Volvo ,Volvo V70,181,gas
2010,1,Audi ,Audi A4,176,gas
2010,1,Peugeot ,Peugeot 207,171,gas
2010,1,Ford ,Ford Focus,166,gas
2010,2,Volkswagen ,Volkswagen Golf,597,gas
2010,2,Volvo ,Volvo V70,330,gas
2010,2,Volvo ,Volvo V50,315,gas
2010,2,Toyota ,Toyota Avensis,313,gas
2010,2,Volkswagen ,Volkswagen Passat,311,gas
2010,2,Skoda ,Skoda Octavia,272,gas
2010,2,Nissan ,Nissan Qashqai,257,gas
2010,2,Mitsubishi ,Mitsubishi Outlander,233,gas
2010,2,Toyota ,Toyota Prius,204,EV/Hybrid
2010,2,Peugeot ,Peugeot 3008,193,gas
2010,2,Volkswagen ,Volkswagen Polo,188,gas
2010,2,Toyota ,Toyota Urban Cruiser,178,gas
2010,2,Ford ,Ford Mondeo,174,gas
2010,2,Suzuki ,Suzuki SX4,164,gas
2010,2,Toyota ,Toyota Yaris,153,gas
2010,2,Toyota ,Toyota Auris,149,gas
2010,2,Audi ,Audi A4,143,gas
2010,2,Ford ,Ford Fiesta,138,gas
2010,2,Toyota ,Toyota Rav4,120,gas
2010,2,Peugeot ,Peugeot 308,98,gas
2010,3,Volkswagen ,Volkswagen Golf,601,gas
2010,3,Volvo ,Volvo V70,387,gas
2010,3,Toyota ,Toyota Avensis,382,gas
2010,3,Nissan ,Nissan Qashqai,381,gas
2010,3,Volkswagen ,Volkswagen Passat,329,gas
2010,3,Peugeot ,Peugeot 3008,308,gas
2010,3,Ford ,Ford Mondeo,300,gas
2010,3,Skoda ,Skoda Octavia,278,gas
2010,3,Ford ,Ford Fiesta,266,gas
2010,3,Volvo ,Volvo V50,241,gas
2010,3,Toyota ,Toyota Auris,230,gas
2010,3,Toyota ,Toyota Prius,222,EV/Hybrid
2010,3,Volvo ,Volvo XC60,218,gas
2010,3,Audi ,Audi A4,207,gas
2010,3,Ford ,Ford Focus,204,gas
2010,3,Opel ,Opel Astra,202,gas
2010,3,Mitsubishi ,Mitsubishi Outlander,198,gas
2010,3,Volkswagen ,Volkswagen Polo,188,gas
2010,3,Toyota ,Toyota Urban Cruiser,158,gas
2010,3,Toyota ,Toyota Yaris,140,gas
2010,4,Volkswagen ,Volkswagen Golf,763,gas
2010,4,Volvo ,Volvo V70,413,gas
2010,4,Nissan ,Nissan Qashqai,386,gas
2010,4,Volkswagen ,Volkswagen Passat,370,gas
2010,4,Volkswagen ,Volkswagen Polo,324,gas
2010,4,Toyota ,Toyota Avensis,297,gas
2010,4,Skoda ,Skoda Octavia,272,gas
2010,4,Mitsubishi ,Mitsubishi Outlander,265,gas
2010,4,Audi ,Audi A4,259,gas
2010,4,Volvo ,Volvo V50,252,gas
2010,4,Volkswagen ,Volkswagen Tiguan,252,gas
2010,4,Audi ,Audi A3,235,gas
2010,4,Peugeot ,Peugeot 3008,220,gas
2010,4,Opel ,Opel Astra,211,gas
2010,4,Toyota ,Toyota Prius,200,EV/Hybrid
2010,4,Toyota ,Toyota Auris,192,gas
2010,4,Ford ,Ford Mondeo,179,gas
2010,4,Toyota ,Toyota Urban Cruiser,141,gas
2010,4,Ford ,Ford Focus,132,gas
2010,4,Ford ,Ford Fiesta,109,gas
2010,5,Volkswagen ,Volkswagen Golf,559,gas
2010,5,Volvo ,Volvo V70,395,gas
2010,5,Nissan ,Nissan Qashqai,381,gas
2010,5,Volkswagen ,Volkswagen Passat,334,gas
2010,5,Ford ,Ford Mondeo,290,gas
2010,5,Toyota ,Toyota Avensis,289,gas
2010,5,Volkswagen ,Volkswagen Polo,279,gas
2010,5,Mitsubishi ,Mitsubishi Outlander,236,gas
2010,5,Audi ,Audi A4,213,gas
2010,5,Toyota ,Toyota Auris,212,gas
2010,5,Ford ,Ford Fiesta,200,gas
2010,5,Peugeot ,Peugeot 3008,199,gas
2010,5,Ford ,Ford Focus,199,gas
2010,5,Volkswagen ,Volkswagen Tiguan,187,gas
2010,5,Skoda ,Skoda Octavia,178,gas
2010,5,Audi ,Audi A3,175,gas
2010,5,Toyota ,Toyota Prius,173,EV/Hybrid
2010,5,Opel ,Opel Astra,164,gas
2010,5,Volvo ,Volvo V50,162,gas
2010,5,Toyota ,Toyota Urban Cruiser,134,gas
2010,6,Volkswagen ,Volkswagen Golf,671,gas
2010,6,Ford ,Ford Mondeo,472,gas
2010,6,Nissan ,Nissan Qashqai,424,gas
2010,6,Volvo ,Volvo V70,373,gas
2010,6,Toyota ,Toyota Avensis,353,gas
2010,6,Skoda ,Skoda Octavia,263,gas
2010,6,Volkswagen ,Volkswagen Passat,262,gas
2010,6,Toyota ,Toyota Auris,256,gas
2010,6,Ford ,Ford Focus,254,gas
2010,6,Audi ,Audi A4,242,gas
2010,6,Toyota ,Toyota Prius,220,EV/Hybrid
2010,6,Mitsubishi ,Mitsubishi Outlander,217,gas
2010,6,Opel ,Opel Astra,213,gas
2010,6,Volvo ,Volvo V50,197,gas
2010,6,Peugeot ,Peugeot 3008,193,gas
2010,6,Ford ,Ford Fiesta,186,gas
2010,6,Volkswagen ,Volkswagen Polo,179,gas
2010,6,Volkswagen ,Volkswagen Tiguan,126,gas
2010,6,Toyota ,Toyota Urban Cruiser,112,gas
2010,6,Audi ,Audi A3,101,gas
2010,7,Volkswagen ,Volkswagen Golf,893,gas
2010,7,Toyota ,Toyota Avensis,416,gas
2010,7,Volvo ,Volvo V70,356,gas
2010,7,Volkswagen ,Volkswagen Passat,347,gas
2010,7,Nissan ,Nissan Qashqai,312,gas
2010,7,Ford ,Ford Mondeo,310,gas
2010,7,Volkswagen ,Volkswagen Polo,310,gas
2010,7,Toyota ,Toyota Auris,306,gas
2010,7,Volvo ,Volvo V50,299,gas
2010,7,Skoda ,Skoda Octavia,282,gas
2010,7,Audi ,Audi A4,248,gas
2010,7,Volvo ,Volvo XC60,245,gas
2010,7,Ford ,Ford Focus,202,gas
2010,7,Peugeot ,Peugeot 3008,201,gas
2010,7,Toyota ,Toyota Prius,199,EV/Hybrid
2010,7,Mitsubishi ,Mitsubishi Outlander,199,gas
2010,7,Ford ,Ford Fiesta,196,gas
2010,7,Volkswagen ,Volkswagen Tiguan,183,gas
2010,7,Opel ,Opel Astra,134,gas
2010,7,Toyota ,Toyota Urban Cruiser,100,gas
2010,8,Volkswagen ,Volkswagen Golf,544,gas
2010,8,Toyota ,Toyota Avensis,411,gas
2010,8,Ford ,Ford Fiesta,369,gas
2010,8,Volkswagen ,Volkswagen Polo,291,gas
2010,8,Nissan ,Nissan Qashqai,280,gas
2010,8,Toyota ,Toyota Auris,254,gas
2010,8,Volkswagen ,Volkswagen Passat,249,gas
2010,8,Ford ,Ford Mondeo,248,gas
2010,8,Audi ,Audi A4,237,gas
2010,8,Volkswagen ,Volkswagen Tiguan,218,gas
2010,8,Ford ,Ford Focus,210,gas
2010,8,Peugeot ,Peugeot 3008,203,gas
2010,8,Volvo ,Volvo V70,194,gas
2010,8,Skoda ,Skoda Octavia,177,gas
2010,8,Toyota ,Toyota Rav4,174,gas
2010,8,Volvo ,Volvo V50,164,gas
2010,8,Toyota ,Toyota Urban Cruiser,157,gas
2010,8,Opel ,Opel Astra,144,gas
2010,8,Mitsubishi ,Mitsubishi Outlander,141,gas
2010,8,Toyota ,Toyota Prius,125,EV/Hybrid
2010,9,Volkswagen ,Volkswagen Golf,670,gas
2010,9,Volvo ,Volvo V70,463,gas
2010,9,Toyota ,Toyota Auris,403,gas
2010,9,Nissan ,Nissan Qashqai,367,gas
2010,9,Ford ,Ford Focus,327,gas
2010,9,Toyota ,Toyota Avensis,318,gas
2010,9,Ford ,Ford Mondeo,267,gas
2010,9,Skoda ,Skoda Octavia,258,gas
2010,9,Ford ,Ford Fiesta,250,gas
2010,9,Volkswagen ,Volkswagen Passat,235,gas
2010,9,Volkswagen ,Volkswagen Tiguan,235,gas
2010,9,Volkswagen ,Volkswagen Polo,210,gas
2010,9,Peugeot ,Peugeot 3008,160,gas
2010,9,Toyota ,Toyota Rav4,160,gas
2010,9,Volvo ,Volvo V50,149,gas
2010,9,Audi ,Audi A4,144,gas
2010,9,Toyota ,Toyota Yaris,144,gas
2010,9,Toyota ,Toyota Prius,131,EV/Hybrid
2010,9,Mitsubishi ,Mitsubishi Outlander,122,gas
2010,9,Opel ,Opel Astra,90,gas
2010,10,Volkswagen ,Volkswagen Golf,742,gas
2010,10,Volvo ,Volvo V70,393,gas
2010,10,Nissan ,Nissan Qashqai,315,gas
2010,10,Toyota ,Toyota Avensis,299,gas
2010,10,Ford ,Ford Fiesta,299,gas
2010,10,Volkswagen ,Volkswagen Polo,297,gas
2010,10,Toyota ,Toyota Auris,273,gas
2010,10,Skoda ,Skoda Octavia,258,gas
2010,10,Volkswagen ,Volkswagen Tiguan,208,gas
2010,10,Volvo ,Volvo V50,191,gas
2010,10,Toyota ,Toyota Rav4,186,gas
2010,10,Peugeot ,Peugeot 3008,183,gas
2010,10,Audi ,Audi A4,178,gas
2010,10,Ford ,Ford Focus,174,gas
2010,10,Volkswagen ,Volkswagen Passat,168,gas
2010,10,Toyota ,Toyota Prius,155,EV/Hybrid
2010,10,Ford ,Ford Mondeo,147,gas
2010,10,Toyota ,Toyota Yaris,136,gas
2010,10,Toyota ,Toyota Urban Cruiser,133,gas
2010,10,Mitsubishi ,Mitsubishi Outlander,123,gas
2010,11,Volkswagen ,Volkswagen Golf,913,gas
2010,11,Volvo ,Volvo V70,492,gas
2010,11,Ford ,Ford Mondeo,424,gas
2010,11,Toyota ,Toyota Avensis,354,gas
2010,11,Skoda ,Skoda Octavia,323,gas
2010,11,Volkswagen ,Volkswagen Polo,318,gas
2010,11,Nissan ,Nissan Qashqai,306,gas
2010,11,Mitsubishi ,Mitsubishi Outlander,283,gas
2010,11,Toyota ,Toyota Auris,270,gas
2010,11,Ford ,Ford Focus,209,gas
2010,11,Audi ,Audi A4,205,gas
2010,11,Toyota ,Toyota Rav4,205,gas
2010,11,Toyota ,Toyota Urban Cruiser,202,gas
2010,11,Toyota ,Toyota Yaris,187,gas
2010,11,Ford ,Ford Fiesta,173,gas
2010,11,Peugeot ,Peugeot 3008,165,gas
2010,11,Volkswagen ,Volkswagen Tiguan,162,gas
2010,11,Volvo ,Volvo V50,147,gas
2010,11,Toyota ,Toyota Prius,105,EV/Hybrid
2010,11,Volkswagen ,Volkswagen Passat,80,gas
2010,12,Volvo ,Volvo V70,658,gas
2010,12,Volkswagen ,Volkswagen Golf,537,gas
2010,12,Ford ,Ford Mondeo,385,gas
2010,12,Ford ,Ford Focus,303,gas
2010,12,Volvo ,Volvo XC60,284,gas
2010,12,Skoda ,Skoda Octavia,256,gas
2010,12,Mitsubishi ,Mitsubishi Outlander,252,gas
2010,12,Nissan ,Nissan Qashqai,182,gas
2010,12,Volkswagen ,Volkswagen Passat,178,gas
2010,12,Audi ,Audi A4,161,gas
2010,12,Toyota ,Toyota Avensis,142,gas
2010,12,Toyota ,Toyota Auris,142,gas
2010,12,Volkswagen ,Volkswagen Polo,138,gas
2010,12,Volvo ,Volvo V50,127,gas
2010,12,Volkswagen ,Volkswagen Tiguan,124,gas
2010,12,Ford ,Ford Fiesta,117,gas
2010,12,Peugeot ,Peugeot 3008,115,gas
2010,12,Toyota ,Toyota Rav4,88,gas
2010,12,Toyota ,Toyota Yaris,74,gas
2010,12,Toyota ,Toyota Prius,71,EV/Hybrid
2011,1,Volkswagen ,Volkswagen Golf,637,gas
2011,1,Toyota ,Toyota Avensis,414,gas
2011,1,Toyota ,Toyota Auris,409,gas
2011,1,Nissan ,Nissan Qashqai,303,gas
2011,1,Volkswagen ,Volkswagen Polo,301,gas
2011,1,Volkswagen ,Volkswagen Passat,269,gas
2011,1,Skoda ,Skoda Octavia,257,gas
2011,1,Ford ,Ford Mondeo,245,gas
2011,1,Ford ,Ford Focus,206,gas
2011,1,Volvo ,Volvo V70,203,gas
2011,1,Mitsubishi ,Mitsubishi ASX,202,gas
2011,1,Suzuki ,Suzuki Swift,199,gas
2011,1,Toyota ,Toyota Rav4,194,gas
2011,1,Volkswagen ,Volkswagen Touran,186,gas
2011,1,Toyota ,Toyota Prius,173,EV/Hybrid
2011,1,Suzuki ,Suzuki SX4,171,gas
2011,1,BMW ,BMW X1,168,gas
2011,1,Opel ,Opel Astra,168,gas
2011,1,Peugeot ,Peugeot 3008,167,gas
2011,1,Volkswagen ,Volkswagen Tiguan,158,gas
2011,1,Volvo ,Volvo V50,158,gas
2011,2,Volkswagen ,Volkswagen Golf,532,gas
2011,2,Toyota ,Toyota Avensis,326,gas
2011,2,Volvo ,Volvo V70,323,gas
2011,2,Volkswagen ,Volkswagen Passat,319,gas
2011,2,Ford ,Ford Mondeo,313,gas
2011,2,Toyota ,Toyota Auris,283,gas
2011,2,Skoda ,Skoda Octavia,278,gas
2011,2,Nissan ,Nissan Qashqai,272,gas
2011,2,Volvo ,Volvo V50,251,gas
2011,2,Mitsubishi ,Mitsubishi ASX,222,gas
2011,2,Volkswagen ,Volkswagen Polo,200,gas
2011,2,Peugeot ,Peugeot 3008,192,gas
2011,2,Ford ,Ford Focus,191,gas
2011,2,Volkswagen ,Volkswagen Tiguan,183,gas
2011,2,Volvo ,Volvo XC60,177,gas
2011,2,Toyota ,Toyota Rav4,167,gas
2011,2,Toyota ,Toyota Yaris,164,gas
2011,2,Volkswagen ,Volkswagen Touran,159,gas
2011,2,Opel ,Opel Astra,136,gas
2011,2,Suzuki ,Suzuki Swift,124,gas
2011,3,Volkswagen ,Volkswagen Golf,714,gas
2011,3,Volvo ,Volvo V70,404,gas
2011,3,Toyota ,Toyota Avensis,369,gas
2011,3,Volkswagen ,Volkswagen Passat,347,gas
2011,3,Mitsubishi ,Mitsubishi ASX,336,gas
2011,3,Toyota ,Toyota Auris,322,gas
2011,3,Ford ,Ford Focus,321,gas
2011,3,Volkswagen ,Volkswagen Tiguan,296,gas
2011,3,Nissan ,Nissan Qashqai,282,gas
2011,3,Ford ,Ford Mondeo,280,gas
2011,3,Volvo ,Volvo V50,257,gas
2011,3,Volkswagen ,Volkswagen Polo,252,gas
2011,3,Volvo ,Volvo XC60,240,gas
2011,3,Opel ,Opel Astra,213,gas
2011,3,Suzuki ,Suzuki Swift,212,gas
2011,3,Skoda ,Skoda Octavia,209,gas
2011,3,Toyota ,Toyota Yaris,188,gas
2011,3,Peugeot ,Peugeot 3008,177,gas
2011,3,Toyota ,Toyota Rav4,162,gas
2011,3,Volkswagen ,Volkswagen Touran,130,gas
2011,4,Volkswagen ,Volkswagen Golf,680,gas
2011,4,Mitsubishi ,Mitsubishi ASX,642,gas
2011,4,Volkswagen ,Volkswagen Passat,432,gas
2011,4,Volvo ,Volvo V70,345,gas
2011,4,Volkswagen ,Volkswagen Polo,335,gas
2011,4,Toyota ,Toyota Avensis,296,gas
2011,4,Toyota ,Toyota Auris,270,gas
2011,4,Ford ,Ford Focus,266,gas
2011,4,Nissan ,Nissan Qashqai,258,gas
2011,4,Skoda ,Skoda Octavia,238,gas
2011,4,Peugeot ,Peugeot 3008,222,gas
2011,4,Ford ,Ford Mondeo,202,gas
2011,4,Audi ,Audi A4,175,gas
2011,4,Opel ,Opel Astra,172,gas
2011,4,Volvo ,Volvo V50,156,gas
2011,4,Volvo ,Volvo XC60,146,gas
2011,4,Volkswagen ,Volkswagen Touran,139,gas
2011,4,Volkswagen ,Volkswagen Tiguan,138,gas
2011,4,Suzuki ,Suzuki Swift,128,gas
2011,4,Toyota ,Toyota Rav4,114,gas
2011,5,Volkswagen ,Volkswagen Golf,611,gas
2011,5,Volkswagen ,Volkswagen Passat,581,gas
2011,5,Mitsubishi ,Mitsubishi ASX,577,gas
2011,5,Volvo ,Volvo V60,401,gas
2011,5,Ford ,Ford Focus,359,gas
2011,5,Nissan ,Nissan Qashqai,349,gas
2011,5,Toyota ,Toyota Avensis,335,gas
2011,5,Volkswagen ,Volkswagen Polo,297,gas
2011,5,Ford ,Ford Mondeo,286,gas
2011,5,Toyota ,Toyota Auris,259,gas
2011,5,Audi ,Audi A4,242,gas
2011,5,Skoda ,Skoda Octavia,241,gas
2011,5,Volvo ,Volvo V70,239,gas
2011,5,Volvo ,Volvo V50,213,gas
2011,5,Opel ,Opel Astra,191,gas
2011,5,Peugeot ,Peugeot 3008,149,gas
2011,5,Toyota ,Toyota Rav4,118,gas
2011,5,Volvo ,Volvo XC60,115,gas
2011,5,Suzuki ,Suzuki Swift,101,gas
2011,5,Volkswagen ,Volkswagen Tiguan,81,gas
2011,6,Volkswagen ,Volkswagen Passat,411,gas
2011,6,Volkswagen ,Volkswagen Golf,391,gas
2011,6,Mitsubishi ,Mitsubishi ASX,363,gas
2011,6,Ford ,Ford Focus,325,gas
2011,6,Ford ,Ford Mondeo,310,gas
2011,6,Nissan ,Nissan Qashqai,307,gas
2011,6,Volvo ,Volvo V70,256,gas
2011,6,Volvo ,Volvo V60,255,gas
2011,6,Toyota ,Toyota Avensis,246,gas
2011,6,Skoda ,Skoda Octavia,245,gas
2011,6,Audi ,Audi A4,203,gas
2011,6,Peugeot ,Peugeot 508,191,gas
2011,6,Volvo ,Volvo V50,170,gas
2011,6,Opel ,Opel Astra,168,gas
2011,6,Toyota ,Toyota Auris,141,gas
2011,6,Volkswagen ,Volkswagen Polo,141,gas
2011,6,Peugeot ,Peugeot 3008,118,gas
2011,6,Toyota ,Toyota Yaris,117,gas
2011,6,Volvo ,Volvo XC60,89,gas
2011,6,Volkswagen ,Volkswagen Tiguan,55,gas
2011,7,Volkswagen ,Volkswagen Golf,636,gas
2011,7,Mitsubishi ,Mitsubishi ASX,477,gas
2011,7,Toyota ,Toyota Avensis,410,gas
2011,7,Volvo ,Volvo V70,384,gas
2011,7,Ford ,Ford Focus,352,gas
2011,7,Volkswagen ,Volkswagen Passat,329,gas
2011,7,Nissan ,Nissan Qashqai,305,gas
2011,7,Skoda ,Skoda Octavia,283,gas
2011,7,Volvo ,Volvo V50,255,gas
2011,7,Toyota ,Toyota Auris,236,gas
2011,7,Volkswagen ,Volkswagen Polo,236,gas
2011,7,Toyota ,Toyota Yaris,225,gas
2011,7,Volvo ,Volvo V60,222,gas
2011,7,Peugeot ,Peugeot 508,220,gas
2011,7,Ford ,Ford Mondeo,208,gas
2011,7,Audi ,Audi A4,192,gas
2011,7,Opel ,Opel Astra,176,gas
2011,7,Volvo ,Volvo XC60,172,gas
2011,7,Peugeot ,Peugeot 3008,145,gas
2011,7,Volkswagen ,Volkswagen Tiguan,115,gas
2011,8,Volkswagen ,Volkswagen Golf,668,gas
2011,8,Ford ,Ford Focus,520,gas
2011,8,Volkswagen ,Volkswagen Passat,406,gas
2011,8,Mitsubishi ,Mitsubishi ASX,338,gas
2011,8,Volkswagen ,Volkswagen Polo,305,gas
